Age,Attrition,BusinessTravel,DailyRate,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,HourlyRate,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,MonthlyRate,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,attrition_flag,income_log,tenure_ratio,promotion_gap_ratio,manager_tenure_ratio,distance_per_income,overtime_flag,travel_frequently_flag,single_flag,male_flag,age_group,income_group,tenure_group
33,No,Travel_Frequently,1141,Sales,1,3,Life Sciences,3,Female,42,4,2,Sales Executive,1,Married,5376,3193,2,No,19,3,1,2,10,3,3,5,3,1,3,0,8.589885876809678,0.45454545454545453,0.16666666666666666,0.5,0.0001859773107680863,0,1,0,0,26-35,중상,3-5년
35,No,Travel_Rarely,464,Research & Development,4,2,Other,3,Male,75,3,1,Laboratory Technician,4,Divorced,1951,10910,1,No,12,3,3,1,1,3,3,1,0,0,0,0,7.5766097669730375,0.5,0.0,0.0,0.0020491803278688526,0,0,0,1,26-35,저소득,0-2년
27,No,Travel_Rarely,1240,Research & Development,2,4,Life Sciences,4,Female,33,3,1,Laboratory Technician,1,Divorced,2341,19715,1,No,13,3,4,1,1,6,3,1,0,0,0,0,7.758760544157663,0.5,0.0,0.0,0.0008539709649871904,0,0,0,0,26-35,저소득,0-2년
26,Yes,Travel_Rarely,1357,Research & Development,25,3,Life Sciences,1,Male,48,1,1,Laboratory Technician,3,Single,2293,10558,1,No,12,3,3,0,1,2,2,1,0,0,1,1,7.738052297689316,0.5,0.0,0.5,0.010897994768962511,0,0,1,1,26-35,저소득,0-2년
27,No,Travel_Frequently,994,Sales,8,3,Life Sciences,4,Male,37,3,3,Sales Executive,3,Single,8726,2975,1,No,15,3,4,0,9,0,3,9,8,1,7,0,9.074176947163311,0.9,0.1,0.7,0.0009166953133952103,0,1,1,1,26-35,고소득,6-10년
30,No,Travel_Frequently,721,Research & Development,1,2,Medical,3,Female,58,3,2,Laboratory Technician,4,Single,4011,10781,1,No,23,4,4,0,12,2,3,12,8,3,7,0,8.297045149081827,0.9230769230769231,0.23076923076923078,0.5384615384615384,0.0002492522432701894,0,1,1,0,26-35,중하,11-20년
41,Yes,Travel_Rarely,1360,Research & Development,12,3,Technical Degree,2,Female,49,3,5,Research Director,3,Married,19545,16280,1,No,12,3,4,0,23,0,3,22,15,15,8,1,9.880525940898782,0.9166666666666666,0.6521739130434783,0.34782608695652173,0.0006139363552645043,0,0,0,0,36-45,고소득,20년 초과
34,No,Non-Travel,1065,Sales,23,4,Marketing,2,Male,72,3,2,Sales Executive,3,Single,4568,10034,0,No,20,4,3,0,10,2,3,9,5,8,7,0,8.427049641563272,0.8181818181818182,0.8,0.7,0.005033924272269643,0,0,1,1,26-35,중하,6-10년
37,No,Travel_Rarely,408,Research & Development,19,2,Life Sciences,2,Male,73,3,1,Research Scientist,2,Married,3022,10227,4,No,21,4,1,0,8,1,3,1,0,0,0,0,8.014004994779459,0.1111111111111111,0.0,0.0,0.00628514720476348,0,0,0,1,36-45,중하,0-2년
46,No,Travel_Frequently,1211,Sales,5,4,Marketing,1,Male,98,3,2,Sales Executive,4,Single,5772,20445,4,Yes,21,4,3,0,14,4,3,9,6,0,8,0,8.660947155060933,0.6,0.0,0.8,0.0008661008141347653,1,1,1,1,46-55,중상,6-10년
35,No,Travel_Rarely,1229,Research & Development,8,1,Life Sciences,4,Male,36,4,1,Laboratory Technician,4,Married,2269,4892,1,No,19,3,4,0,1,2,3,1,0,0,1,0,7.727535110475448,0.5,0.0,0.5,0.003524229074889868,0,0,0,1,26-35,저소득,0-2년
48,Yes,Travel_Rarely,626,Research & Development,1,2,Life Sciences,1,Male,98,2,3,Laboratory Technician,3,Single,5381,19294,9,Yes,13,3,4,0,23,2,3,1,0,0,0,1,8.590815331286851,0.041666666666666664,0.0,0.0,0.0001858045336306206,1,0,1,1,46-55,중상,0-2년
28,Yes,Travel_Rarely,1434,Research & Development,5,4,Technical Degree,3,Male,50,3,1,Laboratory Technician,3,Single,3441,11179,1,Yes,13,3,3,0,2,3,2,2,2,2,2,1,8.143807976771484,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.001452643811737362,1,0,1,1,26-35,중하,0-2년
44,No,Travel_Rarely,1488,Sales,1,5,Marketing,2,Female,75,3,2,Sales Executive,1,Divorced,5454,4009,5,Yes,21,4,3,1,9,2,2,4,3,1,3,0,8.604287898267172,0.4,0.2,0.6,0.00018331805682859762,1,0,0,0,36-45,중상,3-5년
35,No,Non-Travel,1097,Research & Development,11,2,Medical,3,Male,79,2,3,Healthcare Representative,1,Married,9884,8302,2,Yes,13,3,3,1,10,3,3,4,0,2,3,0,9.198773735604718,0.36363636363636365,0.4,0.6,0.001112797167425392,1,0,0,1,26-35,고소득,3-5년
26,No,Travel_Rarely,1443,Sales,23,3,Marketing,3,Female,47,2,2,Sales Executive,4,Married,4157,21436,7,Yes,19,3,3,1,5,2,2,2,2,0,0,0,8.332789468417959,0.3333333333333333,0.0,0.0,0.005531505531505531,1,0,0,0,26-35,중하,0-2년
33,No,Travel_Frequently,515,Research & Development,1,2,Life Sciences,1,Female,98,3,3,Research Director,4,Single,13458,15146,1,Yes,12,3,3,0,15,1,3,15,14,8,12,0,9.507403306233716,0.9375,0.5,0.75,7.429972509101716e-05,1,1,1,0,26-35,고소득,11-20년
35,No,Travel_Frequently,853,Sales,18,5,Life Sciences,2,Male,71,3,3,Sales Executive,1,Married,9069,11031,1,No,22,4,4,1,9,3,2,9,8,1,8,0,9.112727543109182,0.9,0.1,0.8,0.001984564498346196,0,1,0,1,26-35,고소득,6-10년
35,No,Travel_Rarely,1142,Research & Development,23,4,Medical,3,Female,30,3,1,Laboratory Technician,1,Married,4014,16002,3,Yes,15,3,3,1,4,3,3,2,2,2,2,0,8.297792626380861,0.4,0.6666666666666666,0.6666666666666666,0.00572851805728518,1,0,0,0,26-35,중하,0-2년
31,No,Travel_Rarely,655,Research & Development,7,4,Life Sciences,4,Male,48,3,2,Laboratory Technician,4,Divorced,5915,9528,3,No,22,4,4,1,10,3,2,7,7,1,7,0,8.68541582383069,0.6363636363636364,0.125,0.875,0.0011832319134550372,0,0,0,1,26-35,중상,6-10년
37,No,Travel_Rarely,1115,Research & Development,1,4,Life Sciences,1,Male,51,2,2,Manufacturing Director,3,Divorced,5993,2689,1,No,18,3,3,1,7,2,4,7,5,0,7,0,8.69851424787661,0.875,0.0,0.875,0.0001668335001668335,0,0,0,1,36-45,중상,6-10년
32,No,Travel_Rarely,427,Research & Development,1,3,Medical,1,Male,33,3,2,Manufacturing Director,4,Married,6162,10877,1,Yes,22,4,2,1,9,3,3,9,8,7,8,0,8.726318950962243,0.9,0.7,0.8,0.00016225864027259452,1,0,0,1,26-35,중상,6-10년
38,No,Travel_Frequently,653,Research & Development,29,5,Life Sciences,4,Female,50,3,2,Laboratory Technician,4,Single,2406,5456,1,No,11,3,4,0,10,2,3,10,3,9,9,0,7.786136437783072,0.9090909090909091,0.8181818181818182,0.8181818181818182,0.012048192771084338,0,1,1,0,36-45,저소득,6-10년
50,No,Travel_Rarely,989,Research & Development,7,2,Medical,2,Female,43,2,5,Research Director,3,Divorced,18740,16701,5,Yes,12,3,4,1,29,2,2,27,3,13,8,0,9.838468916161679,0.9,0.4642857142857143,0.2857142857142857,0.0003735126193906408,1,0,0,0,46-55,고소득,20년 초과
59,No,Travel_Rarely,1435,Sales,25,3,Life Sciences,1,Female,99,3,3,Sales Executive,1,Single,7637,2354,7,No,11,3,4,0,28,3,2,21,16,7,9,0,8.940891067785461,0.7241379310344828,0.3181818181818182,0.4090909090909091,0.003273108143493061,0,0,1,0,56-65,중상,20년 초과
36,No,Travel_Rarely,1223,Research & Development,8,3,Technical Degree,3,Female,59,3,3,Healthcare Representative,3,Divorced,10096,8202,1,No,13,3,2,3,17,2,3,17,14,12,8,0,9.219993629004321,0.9444444444444444,0.6666666666666666,0.4444444444444444,0.0007923145488759037,0,0,0,0,36-45,고소득,11-20년
55,No,Travel_Rarely,836,Research & Development,8,3,Medical,4,Female,33,3,4,Manager,3,Divorced,14756,19730,2,Yes,14,3,3,3,21,2,3,5,0,0,2,0,9.59947282546345,0.22727272727272727,0.0,0.3333333333333333,0.0005421156061530121,1,0,0,0,46-55,고소득,3-5년
36,No,Travel_Frequently,1195,Research & Development,11,3,Life Sciences,2,Male,95,2,2,Manufacturing Director,2,Single,6499,22656,1,No,13,3,3,0,6,3,3,6,5,0,3,0,8.779557455883728,0.8571428571428571,0.0,0.42857142857142855,0.0016923076923076924,0,1,1,1,36-45,중상,6-10년
45,No,Travel_Rarely,1339,Research & Development,7,3,Life Sciences,2,Male,59,3,3,Research Scientist,1,Divorced,9724,18787,2,No,17,3,3,1,25,2,3,1,0,0,0,0,9.182455168486648,0.038461538461538464,0.0,0.0,0.0007197943444730077,0,0,0,1,36-45,고소득,0-2년
35,No,Travel_Frequently,664,Research & Development,1,3,Medical,2,Male,79,3,1,Research Scientist,1,Married,2194,5868,4,No,13,3,4,1,5,2,2,3,2,1,2,0,7.693937325509272,0.5,0.25,0.5,0.00045558086560364467,0,1,0,1,26-35,저소득,3-5년
36,Yes,Travel_Rarely,318,Research & Development,9,3,Medical,4,Male,79,2,1,Research Scientist,3,Married,3388,21777,0,Yes,17,3,1,1,2,0,2,1,0,0,0,1,8.128290171607052,0.3333333333333333,0.0,0.0,0.0026556506344054295,1,0,0,1,36-45,중하,0-2년
59,No,Travel_Frequently,1225,Sales,1,1,Life Sciences,1,Female,57,2,2,Sales Executive,3,Single,5473,24668,7,No,11,3,4,0,20,2,2,4,3,1,3,0,8.607764889600624,0.19047619047619047,0.2,0.6,0.00018268176835951772,0,1,1,0,56-65,중상,3-5년
29,No,Travel_Rarely,1328,Research & Development,2,3,Life Sciences,3,Male,76,3,1,Research Scientist,2,Married,2703,4956,0,No,23,4,4,1,6,3,3,5,4,0,4,0,7.902487437162855,0.7142857142857143,0.0,0.6666666666666666,0.0007396449704142012,0,0,0,1,26-35,저소득,3-5년
31,No,Travel_Rarely,1082,Research & Development,1,4,Medical,3,Male,87,3,1,Research Scientist,2,Single,2501,18775,1,No,17,3,2,0,1,4,3,1,1,1,0,0,7.824845691026856,0.5,0.5,0.0,0.0003996802557953637,0,0,1,1,26-35,저소득,0-2년
32,No,Travel_Rarely,548,Research & Development,1,3,Life Sciences,2,Male,66,3,2,Research Scientist,2,Married,6220,7346,1,No,17,3,2,2,10,3,3,10,4,0,9,0,8.73568594451502,0.9090909090909091,0.0,0.8181818181818182,0.00016074586079408456,0,0,0,1,26-35,중상,6-10년
36,No,Travel_Rarely,132,Research & Development,6,3,Life Sciences,2,Female,55,4,1,Laboratory Technician,4,Married,3038,22002,3,No,12,3,2,0,5,3,3,1,0,0,0,0,8.019283792916793,0.16666666666666666,0.0,0.0,0.0019743336623889436,0,0,0,0,36-45,중하,0-2년
31,No,Travel_Rarely,746,Research & Development,8,4,Life Sciences,3,Female,61,3,2,Manufacturing Director,4,Single,4424,20682,1,No,23,4,4,0,11,2,3,11,7,1,8,0,8.39502555744203,0.9166666666666666,0.08333333333333333,0.6666666666666666,0.001807909604519774,0,0,1,0,26-35,중하,11-20년
35,No,Travel_Rarely,776,Sales,1,4,Marketing,3,Male,32,2,2,Sales Executive,1,Single,4312,23016,0,No,14,3,2,0,16,2,3,15,13,2,8,0,8.369388996647842,0.8823529411764706,0.125,0.5,0.00023185717597959656,0,0,1,1,26-35,중하,11-20년
45,No,Travel_Rarely,193,Research & Development,6,4,Other,4,Male,52,3,3,Research Director,1,Married,13245,15067,4,Yes,14,3,2,0,17,3,4,0,0,0,0,0,9.491450899044924,0.0,0.0,0.0,0.0004529669334138608,1,0,0,1,36-45,고소득,0-2년
37,No,Travel_Rarely,397,Research & Development,7,4,Medical,1,Male,30,3,3,Research Director,3,Single,13664,25258,4,No,13,3,1,0,16,3,4,5,2,0,2,0,9.522593098362169,0.29411764705882354,0.0,0.3333333333333333,0.0005122575923893158,0,0,1,1,36-45,고소득,3-5년
46,No,Travel_Rarely,945,Human Resources,5,2,Medical,2,Male,80,3,2,Human Resources,2,Divorced,5021,10425,8,Yes,22,4,4,1,16,2,3,4,2,0,2,0,8.52158353971753,0.23529411764705882,0.0,0.4,0.0009956192751891676,1,0,0,1,46-55,중상,3-5년
30,No,Travel_Rarely,852,Research & Development,1,1,Life Sciences,4,Male,55,2,2,Laboratory Technician,4,Married,5126,15998,1,Yes,12,3,3,2,10,1,2,10,8,3,0,0,8.5422759717837,0.9090909090909091,0.2727272727272727,0.0,0.0001950458357714063,1,0,0,1,26-35,중상,6-10년
35,No,Travel_Rarely,1214,Research & Development,1,3,Medical,2,Male,30,2,1,Research Scientist,3,Single,2859,26278,1,No,18,3,1,0,6,3,3,6,4,0,4,0,7.958576903813898,0.8571428571428571,0.0,0.5714285714285714,0.00034965034965034965,0,0,1,1,26-35,저소득,6-10년
55,No,Travel_Rarely,111,Sales,1,2,Life Sciences,1,Male,70,3,3,Sales Executive,4,Married,10239,18092,3,No,14,3,4,1,24,4,3,1,0,1,0,0,9.234056898593499,0.04,0.5,0.0,9.765625e-05,0,0,0,1,46-55,고소득,0-2년
38,No,Non-Travel,573,Research & Development,6,3,Medical,2,Female,79,1,2,Research Scientist,4,Divorced,5329,15717,7,Yes,12,3,4,3,17,3,3,13,11,1,9,0,8.58110651715989,0.7222222222222222,0.07142857142857142,0.6428571428571429,0.001125703564727955,1,0,0,0,36-45,중상,11-20년
34,No,Travel_Rarely,1153,Research & Development,1,2,Medical,1,Male,94,3,2,Manufacturing Director,2,Married,4325,17736,1,No,15,3,3,0,5,2,3,5,2,1,3,0,8.372398606513004,0.8333333333333334,0.16666666666666666,0.5,0.0002311604253351826,0,0,0,1,26-35,중하,3-5년
56,No,Travel_Rarely,1400,Research & Development,7,3,Life Sciences,4,Male,49,1,3,Manufacturing Director,4,Single,7260,21698,4,No,11,3,1,0,37,3,2,6,4,0,2,0,8.890272839380247,0.15789473684210525,0.0,0.2857142857142857,0.0009640545379424321,0,0,1,1,56-65,중상,6-10년
23,No,Travel_Rarely,541,Sales,2,1,Technical Degree,3,Male,62,3,1,Sales Representative,1,Divorced,2322,9518,3,No,13,3,3,1,3,3,3,0,0,0,0,0,7.750614732770409,0.0,0.0,0.0,0.0008609556607834697,0,0,0,1,18-25,저소득,0-2년
51,No,Travel_Rarely,432,Research & Development,9,4,Life Sciences,4,Male,96,3,1,Laboratory Technician,4,Married,2075,18725,3,No,23,4,2,2,10,4,3,4,2,0,3,0,7.638198244285779,0.36363636363636365,0.0,0.6,0.004335260115606936,0,0,0,1,46-55,저소득,3-5년
30,No,Travel_Rarely,288,Research & Development,2,3,Life Sciences,3,Male,99,2,2,Healthcare Representative,4,Married,4152,15830,1,No,19,3,1,3,11,3,3,11,10,10,8,0,8.331586243630754,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.0004815795810257645,0,0,0,1,26-35,중하,11-20년
46,Yes,Travel_Rarely,669,Sales,9,2,Medical,3,Male,64,2,3,Sales Executive,4,Single,9619,13596,1,No,16,3,4,0,9,3,3,9,8,4,7,1,9.171599543659752,0.9,0.4,0.7,0.0009355509355509356,0,0,1,1,46-55,고소득,6-10년
