Age,BusinessTravel,Department,DistanceFromHome,Education,EducationField,EnvironmentSatisfaction,Gender,JobInvolvement,JobLevel,JobRole,JobSatisfaction,MaritalStatus,MonthlyIncome,NumCompaniesWorked,OverTime,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,income_log,tenure_ratio,promotion_gap_ratio,manager_tenure_ratio,distance_per_income,age_group,income_group,tenure_group,attrition_flag
35,Travel_Rarely,Research & Development,16,3,Medical,1,Male,4,1,Laboratory Technician,2,Married,2426,0,No,13,3,3,1,6,5,3,5,4,0,3,7.794411205726601,0.7142857142857143,0.0,0.5,0.0065925010300782,26-35,저소득,3-5년,0
29,Travel_Rarely,Research & Development,15,2,Life Sciences,4,Female,2,2,Laboratory Technician,3,Single,4193,0,Yes,12,3,4,0,10,3,3,9,5,0,8,8.341410211461865,0.8181818181818182,0.0,0.8,0.0035765379113018,26-35,중하,6-10년,0
31,Travel_Rarely,Research & Development,26,1,Life Sciences,1,Male,3,1,Research Scientist,3,Divorced,2911,1,No,17,3,4,1,5,1,2,5,2,4,3,7.976595409316577,0.8333333333333334,0.6666666666666666,0.5,0.0089285714285714,26-35,저소득,3-5년,0
34,Travel_Rarely,Research & Development,19,2,Medical,2,Male,3,1,Laboratory Technician,4,Divorced,2661,0,No,11,3,3,1,3,2,3,2,2,1,2,7.886832998955056,0.5,0.3333333333333333,0.6666666666666666,0.0071374906085649,26-35,저소득,0-2년,0
28,Travel_Rarely,Research & Development,24,3,Life Sciences,3,Male,2,1,Laboratory Technician,3,Single,2028,5,Yes,14,3,2,0,6,4,3,4,2,0,3,7.615298339825815,0.5714285714285714,0.0,0.6,0.011828486939379,26-35,저소득,3-5년,1
29,Travel_Rarely,Research & Development,21,4,Life Sciences,2,Female,4,3,Manufacturing Director,1,Divorced,9980,1,No,11,3,3,1,10,1,3,10,9,8,8,9.208438564686588,0.9090909090909092,0.7272727272727273,0.7272727272727273,0.0021039975954313,26-35,고소득,6-10년,0
32,Travel_Rarely,Research & Development,5,2,Life Sciences,1,Male,4,1,Research Scientist,2,Divorced,3298,0,Yes,12,3,4,2,7,5,2,6,2,0,5,8.101374671228582,0.75,0.0,0.7142857142857143,0.0015156107911488,26-35,중하,6-10년,0
22,Non-Travel,Research & Development,16,2,Medical,4,Male,4,1,Laboratory Technician,4,Divorced,2935,1,Yes,13,3,2,2,1,2,2,1,0,0,0,7.984803389734406,0.5,0.0,0.0,0.0054495912806539,18-25,중하,0-2년,0
53,Travel_Rarely,Sales,2,4,Life Sciences,1,Female,2,4,Manager,4,Married,15427,2,No,16,3,3,0,31,3,3,25,8,3,7,9.64393931932812,0.78125,0.1153846153846153,0.2692307692307692,0.0001296344309048,46-55,고소득,20년 초과,0
38,Travel_Rarely,Research & Development,2,3,Life Sciences,4,Male,3,1,Research Scientist,4,Single,3944,5,Yes,11,3,3,0,6,3,3,3,2,1,2,8.280204233279974,0.4285714285714285,0.25,0.5,0.0005069708491761,36-45,중하,3-5년,0
24,Non-Travel,Research & Development,11,2,Other,1,Female,4,2,Manufacturing Director,3,Divorced,4011,0,No,18,3,4,1,5,5,2,4,2,1,3,8.297045149081827,0.6666666666666666,0.2,0.6,0.002741774675972,18-25,중하,3-5년,0
36,Travel_Rarely,Sales,9,4,Life Sciences,3,Male,2,1,Sales Representative,1,Single,3407,7,No,23,4,2,0,10,4,3,5,3,0,3,8.133880887949207,0.4545454545454545,0.0,0.5,0.0026408450704225,36-45,중하,3-5년,1
34,Travel_Rarely,Research & Development,7,4,Life Sciences,1,Female,3,3,Research Director,2,Single,11994,0,No,11,3,3,0,13,4,3,12,6,2,11,9.392245175273796,0.8571428571428571,0.1538461538461538,0.8461538461538461,0.0005835764902042,26-35,고소득,11-20년,0
21,Travel_Rarely,Research & Development,15,2,Life Sciences,3,Male,3,1,Research Scientist,4,Single,1232,1,No,14,3,4,0,0,6,3,0,0,0,0,7.117205503164344,0.0,0.0,0.0,0.0121654501216545,18-25,저소득,0-2년,0
34,Travel_Rarely,Research & Development,6,1,Medical,2,Male,3,1,Research Scientist,1,Single,2960,2,No,11,3,3,0,8,2,3,4,2,1,3,7.993282328101591,0.4444444444444444,0.2,0.6,0.0020263424518743,26-35,중하,3-5년,1
53,Travel_Rarely,Research & Development,5,3,Other,3,Female,3,5,Manager,3,Divorced,19094,4,No,11,3,4,1,26,3,2,14,13,4,8,9.857181799659616,0.5185185185185185,0.2666666666666666,0.5333333333333333,0.0002618486514794,46-55,고소득,11-20년,0
32,Travel_Frequently,Research & Development,16,1,Life Sciences,2,Female,1,1,Research Scientist,1,Single,3919,1,Yes,22,4,2,0,10,5,3,10,2,6,7,8.273846932784508,0.9090909090909092,0.5454545454545454,0.6363636363636364,0.0040816326530612,26-35,중하,6-10년,1
42,Travel_Rarely,Sales,8,4,Marketing,3,Male,3,2,Sales Executive,2,Married,6825,0,No,11,3,4,1,10,2,3,9,7,4,2,8.828494129466652,0.8181818181818182,0.4,0.2,0.0011719894520949,36-45,중상,6-10년,0
44,Travel_Rarely,Research & Development,7,4,Medical,1,Female,2,3,Healthcare Representative,4,Married,10248,3,No,14,3,4,1,24,4,3,22,6,5,17,9.234935418831563,0.88,0.217391304347826,0.7391304347826086,0.0006829934627768,36-45,고소득,20년 초과,0
46,Travel_Rarely,Sales,2,4,Marketing,2,Female,3,5,Manager,1,Single,18947,3,No,12,3,4,0,22,2,2,2,2,2,1,9.849453664043642,0.0869565217391304,0.6666666666666666,0.3333333333333333,0.0001055520371543,46-55,고소득,0-2년,0
33,Travel_Rarely,Research & Development,2,3,Medical,3,Male,3,1,Laboratory Technician,4,Single,2496,4,No,11,3,4,0,7,3,3,1,1,0,0,7.822845290279774,0.125,0.0,0.0,0.000800961153384,26-35,저소득,0-2년,0
44,Travel_Rarely,Research & Development,10,4,Other,4,Male,3,2,Healthcare Representative,4,Married,6465,2,Yes,13,3,4,0,9,5,4,4,2,1,3,8.774312958285378,0.4,0.2,0.6,0.0015465511908444,36-45,중상,3-5년,0
30,Travel_Rarely,Research & Development,9,2,Medical,4,Male,2,1,Laboratory Technician,3,Single,2206,1,No,13,3,1,0,10,5,3,10,0,1,8,7.699389406256737,0.9090909090909092,0.0909090909090909,0.7272727272727273,0.0040779338468509,26-35,저소득,6-10년,0
39,Travel_Rarely,Sales,5,3,Technical Degree,4,Male,3,2,Sales Representative,4,Married,2086,3,No,14,3,3,1,19,6,4,1,0,0,0,7.643482907077201,0.05,0.0,0.0,0.0023957834211787,36-45,저소득,0-2년,1
24,Travel_Rarely,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,4,Married,2293,2,Yes,16,3,1,1,6,2,2,2,0,2,0,7.738052297689316,0.2857142857142857,0.6666666666666666,0.0,0.0004359197907585,18-25,저소득,0-2년,1
43,Travel_Rarely,Research & Development,2,2,Medical,4,Female,4,1,Research Scientist,3,Divorced,2645,1,No,12,3,4,2,6,3,2,5,3,1,4,7.880804344674901,0.7142857142857143,0.1666666666666666,0.6666666666666666,0.000755857898715,36-45,저소득,3-5년,0
50,Travel_Rarely,Sales,3,2,Marketing,1,Male,2,1,Sales Representative,3,Married,2683,1,Yes,14,3,3,0,3,2,3,3,2,0,2,7.895063498091573,0.75,0.0,0.5,0.0011177347242921,46-55,저소득,3-5년,1
35,Travel_Rarely,Sales,2,3,Marketing,4,Female,3,1,Sales Representative,4,Married,2014,1,No,13,3,1,0,2,3,3,2,2,2,2,7.608374474380783,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0009925558312655,26-35,저소득,0-2년,0
36,Travel_Rarely,Research & Development,5,4,Life Sciences,2,Female,2,1,Research Scientist,1,Married,3419,9,Yes,14,3,4,1,6,3,4,1,1,0,0,8.13739583005665,0.1428571428571428,0.0,0.0,0.0014619883040935,36-45,중하,0-2년,0
33,Travel_Frequently,Sales,1,3,Life Sciences,3,Female,4,2,Sales Executive,1,Married,5376,2,No,19,3,1,2,10,3,3,5,3,1,3,8.589885876809678,0.4545454545454545,0.1666666666666666,0.5,0.000185977310768,26-35,중상,3-5년,0
35,Travel_Rarely,Research & Development,4,2,Other,3,Male,3,1,Laboratory Technician,4,Divorced,1951,1,No,12,3,3,1,1,3,3,1,0,0,0,7.576609766973037,0.5,0.0,0.0,0.0020491803278688,26-35,저소득,0-2년,0
27,Travel_Rarely,Research & Development,2,4,Life Sciences,4,Female,3,1,Laboratory Technician,1,Divorced,2341,1,No,13,3,4,1,1,6,3,1,0,0,0,7.758760544157663,0.5,0.0,0.0,0.0008539709649871,26-35,저소득,0-2년,0
26,Travel_Rarely,Research & Development,25,3,Life Sciences,1,Male,1,1,Laboratory Technician,3,Single,2293,1,No,12,3,3,0,1,2,2,1,0,0,1,7.738052297689316,0.5,0.0,0.5,0.0108979947689625,26-35,저소득,0-2년,1
27,Travel_Frequently,Sales,8,3,Life Sciences,4,Male,3,3,Sales Executive,3,Single,8726,1,No,15,3,4,0,9,0,3,9,8,1,7,9.074176947163313,0.9,0.1,0.7,0.0009166953133952,26-35,고소득,6-10년,0
30,Travel_Frequently,Research & Development,1,2,Medical,3,Female,3,2,Laboratory Technician,4,Single,4011,1,No,23,4,4,0,12,2,3,12,8,3,7,8.297045149081827,0.9230769230769232,0.2307692307692307,0.5384615384615384,0.0002492522432701,26-35,중하,11-20년,0
41,Travel_Rarely,Research & Development,12,3,Technical Degree,2,Female,3,5,Research Director,3,Married,19545,1,No,12,3,4,0,23,0,3,22,15,15,8,9.880525940898782,0.9166666666666666,0.6521739130434783,0.3478260869565217,0.0006139363552645,36-45,고소득,20년 초과,1
34,Non-Travel,Sales,23,4,Marketing,2,Male,3,2,Sales Executive,3,Single,4568,0,No,20,4,3,0,10,2,3,9,5,8,7,8.427049641563272,0.8181818181818182,0.8,0.7,0.0050339242722696,26-35,중하,6-10년,0
37,Travel_Rarely,Research & Development,19,2,Life Sciences,2,Male,3,1,Research Scientist,2,Married,3022,4,No,21,4,1,0,8,1,3,1,0,0,0,8.014004994779459,0.1111111111111111,0.0,0.0,0.0062851472047634,36-45,중하,0-2년,0
46,Travel_Frequently,Sales,5,4,Marketing,1,Male,3,2,Sales Executive,4,Single,5772,4,Yes,21,4,3,0,14,4,3,9,6,0,8,8.660947155060933,0.6,0.0,0.8,0.0008661008141347,46-55,중상,6-10년,0
35,Travel_Rarely,Research & Development,8,1,Life Sciences,4,Male,4,1,Laboratory Technician,4,Married,2269,1,No,19,3,4,0,1,2,3,1,0,0,1,7.727535110475448,0.5,0.0,0.5,0.0035242290748898,26-35,저소득,0-2년,0
48,Travel_Rarely,Research & Development,1,2,Life Sciences,1,Male,2,3,Laboratory Technician,3,Single,5381,9,Yes,13,3,4,0,23,2,3,1,0,0,0,8.590815331286851,0.0416666666666666,0.0,0.0,0.0001858045336306,46-55,중상,0-2년,1
28,Travel_Rarely,Research & Development,5,4,Technical Degree,3,Male,3,1,Laboratory Technician,3,Single,3441,1,Yes,13,3,3,0,2,3,2,2,2,2,2,8.143807976771484,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.0014526438117373,26-35,중하,0-2년,1
44,Travel_Rarely,Sales,1,5,Marketing,2,Female,3,2,Sales Executive,1,Divorced,5454,5,Yes,21,4,3,1,9,2,2,4,3,1,3,8.604287898267172,0.4,0.2,0.6,0.0001833180568285,36-45,중상,3-5년,0
35,Non-Travel,Research & Development,11,2,Medical,3,Male,2,3,Healthcare Representative,1,Married,9884,2,Yes,13,3,3,1,10,3,3,4,0,2,3,9.198773735604718,0.3636363636363636,0.4,0.6,0.0011127971674253,26-35,고소득,3-5년,0
26,Travel_Rarely,Sales,23,3,Marketing,3,Female,2,2,Sales Executive,4,Married,4157,7,Yes,19,3,3,1,5,2,2,2,2,0,0,8.332789468417959,0.3333333333333333,0.0,0.0,0.0055315055315055,26-35,중하,0-2년,0
33,Travel_Frequently,Research & Development,1,2,Life Sciences,1,Female,3,3,Research Director,4,Single,13458,1,Yes,12,3,3,0,15,1,3,15,14,8,12,9.507403306233716,0.9375,0.5,0.75,7.429972509101716e-05,26-35,고소득,11-20년,0
35,Travel_Frequently,Sales,18,5,Life Sciences,2,Male,3,3,Sales Executive,1,Married,9069,1,No,22,4,4,1,9,3,2,9,8,1,8,9.112727543109182,0.9,0.1,0.8,0.0019845644983461,26-35,고소득,6-10년,0
35,Travel_Rarely,Research & Development,23,4,Medical,3,Female,3,1,Laboratory Technician,1,Married,4014,3,Yes,15,3,3,1,4,3,3,2,2,2,2,8.297792626380861,0.4,0.6666666666666666,0.6666666666666666,0.0057285180572851,26-35,중하,0-2년,0
31,Travel_Rarely,Research & Development,7,4,Life Sciences,4,Male,3,2,Laboratory Technician,4,Divorced,5915,3,No,22,4,4,1,10,3,2,7,7,1,7,8.68541582383069,0.6363636363636364,0.125,0.875,0.001183231913455,26-35,중상,6-10년,0
37,Travel_Rarely,Research & Development,1,4,Life Sciences,1,Male,2,2,Manufacturing Director,3,Divorced,5993,1,No,18,3,3,1,7,2,4,7,5,0,7,8.69851424787661,0.875,0.0,0.875,0.0001668335001668,36-45,중상,6-10년,0
32,Travel_Rarely,Research & Development,1,3,Medical,1,Male,3,2,Manufacturing Director,4,Married,6162,1,Yes,22,4,2,1,9,3,3,9,8,7,8,8.726318950962243,0.9,0.7,0.8,0.0001622586402725,26-35,중상,6-10년,0
38,Travel_Frequently,Research & Development,29,5,Life Sciences,4,Female,3,2,Laboratory Technician,4,Single,2406,1,No,11,3,4,0,10,2,3,10,3,9,9,7.786136437783072,0.9090909090909092,0.8181818181818182,0.8181818181818182,0.0120481927710843,36-45,저소득,6-10년,0
50,Travel_Rarely,Research & Development,7,2,Medical,2,Female,2,5,Research Director,3,Divorced,18740,5,Yes,12,3,4,1,29,2,2,27,3,13,8,9.83846891616168,0.9,0.4642857142857143,0.2857142857142857,0.0003735126193906,46-55,고소득,20년 초과,0
59,Travel_Rarely,Sales,25,3,Life Sciences,1,Female,3,3,Sales Executive,1,Single,7637,7,No,11,3,4,0,28,3,2,21,16,7,9,8.940891067785461,0.7241379310344828,0.3181818181818182,0.4090909090909091,0.003273108143493,56-65,중상,20년 초과,0
36,Travel_Rarely,Research & Development,8,3,Technical Degree,3,Female,3,3,Healthcare Representative,3,Divorced,10096,1,No,13,3,2,3,17,2,3,17,14,12,8,9.21999362900432,0.9444444444444444,0.6666666666666666,0.4444444444444444,0.0007923145488759,36-45,고소득,11-20년,0
55,Travel_Rarely,Research & Development,8,3,Medical,4,Female,3,4,Manager,3,Divorced,14756,2,Yes,14,3,3,3,21,2,3,5,0,0,2,9.59947282546345,0.2272727272727272,0.0,0.3333333333333333,0.000542115606153,46-55,고소득,3-5년,0
36,Travel_Frequently,Research & Development,11,3,Life Sciences,2,Male,2,2,Manufacturing Director,2,Single,6499,1,No,13,3,3,0,6,3,3,6,5,0,3,8.779557455883728,0.8571428571428571,0.0,0.4285714285714285,0.0016923076923076,36-45,중상,6-10년,0
45,Travel_Rarely,Research & Development,7,3,Life Sciences,2,Male,3,3,Research Scientist,1,Divorced,9724,2,No,17,3,3,1,25,2,3,1,0,0,0,9.182455168486648,0.0384615384615384,0.0,0.0,0.000719794344473,36-45,고소득,0-2년,0
35,Travel_Frequently,Research & Development,1,3,Medical,2,Male,3,1,Research Scientist,1,Married,2194,4,No,13,3,4,1,5,2,2,3,2,1,2,7.693937325509272,0.5,0.25,0.5,0.0004555808656036,26-35,저소득,3-5년,0
36,Travel_Rarely,Research & Development,9,3,Medical,4,Male,2,1,Research Scientist,3,Married,3388,0,Yes,17,3,1,1,2,0,2,1,0,0,0,8.128290171607052,0.3333333333333333,0.0,0.0,0.0026556506344054,36-45,중하,0-2년,1
59,Travel_Frequently,Sales,1,1,Life Sciences,1,Female,2,2,Sales Executive,3,Single,5473,7,No,11,3,4,0,20,2,2,4,3,1,3,8.607764889600624,0.1904761904761904,0.2,0.6,0.0001826817683595,56-65,중상,3-5년,0
29,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,3,1,Research Scientist,2,Married,2703,0,No,23,4,4,1,6,3,3,5,4,0,4,7.902487437162855,0.7142857142857143,0.0,0.6666666666666666,0.0007396449704142,26-35,저소득,3-5년,0
31,Travel_Rarely,Research & Development,1,4,Medical,3,Male,3,1,Research Scientist,2,Single,2501,1,No,17,3,2,0,1,4,3,1,1,1,0,7.824845691026856,0.5,0.5,0.0,0.0003996802557953,26-35,저소득,0-2년,0
32,Travel_Rarely,Research & Development,1,3,Life Sciences,2,Male,3,2,Research Scientist,2,Married,6220,1,No,17,3,2,2,10,3,3,10,4,0,9,8.73568594451502,0.9090909090909092,0.0,0.8181818181818182,0.000160745860794,26-35,중상,6-10년,0
36,Travel_Rarely,Research & Development,6,3,Life Sciences,2,Female,4,1,Laboratory Technician,4,Married,3038,3,No,12,3,2,0,5,3,3,1,0,0,0,8.019283792916793,0.1666666666666666,0.0,0.0,0.0019743336623889,36-45,중하,0-2년,0
31,Travel_Rarely,Research & Development,8,4,Life Sciences,3,Female,3,2,Manufacturing Director,4,Single,4424,1,No,23,4,4,0,11,2,3,11,7,1,8,8.39502555744203,0.9166666666666666,0.0833333333333333,0.6666666666666666,0.0018079096045197,26-35,중하,11-20년,0
35,Travel_Rarely,Sales,1,4,Marketing,3,Male,2,2,Sales Executive,1,Single,4312,0,No,14,3,2,0,16,2,3,15,13,2,8,8.369388996647842,0.8823529411764706,0.125,0.5,0.0002318571759795,26-35,중하,11-20년,0
45,Travel_Rarely,Research & Development,6,4,Other,4,Male,3,3,Research Director,1,Married,13245,4,Yes,14,3,2,0,17,3,4,0,0,0,0,9.491450899044924,0.0,0.0,0.0,0.0004529669334138,36-45,고소득,0-2년,0
37,Travel_Rarely,Research & Development,7,4,Medical,1,Male,3,3,Research Director,3,Single,13664,4,No,13,3,1,0,16,3,4,5,2,0,2,9.522593098362169,0.2941176470588235,0.0,0.3333333333333333,0.0005122575923893,36-45,고소득,3-5년,0
46,Travel_Rarely,Human Resources,5,2,Medical,2,Male,3,2,Human Resources,2,Divorced,5021,8,Yes,22,4,4,1,16,2,3,4,2,0,2,8.52158353971753,0.2352941176470588,0.0,0.4,0.0009956192751891,46-55,중상,3-5년,0
30,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,2,2,Laboratory Technician,4,Married,5126,1,Yes,12,3,3,2,10,1,2,10,8,3,0,8.5422759717837,0.9090909090909092,0.2727272727272727,0.0,0.0001950458357714,26-35,중상,6-10년,0
35,Travel_Rarely,Research & Development,1,3,Medical,2,Male,2,1,Research Scientist,3,Single,2859,1,No,18,3,1,0,6,3,3,6,4,0,4,7.958576903813898,0.8571428571428571,0.0,0.5714285714285714,0.0003496503496503,26-35,저소득,6-10년,0
55,Travel_Rarely,Sales,1,2,Life Sciences,1,Male,3,3,Sales Executive,4,Married,10239,3,No,14,3,4,1,24,4,3,1,0,1,0,9.2340568985935,0.04,0.5,0.0,9.765625e-05,46-55,고소득,0-2년,0
38,Non-Travel,Research & Development,6,3,Medical,2,Female,1,2,Research Scientist,4,Divorced,5329,7,Yes,12,3,4,3,17,3,3,13,11,1,9,8.58110651715989,0.7222222222222222,0.0714285714285714,0.6428571428571429,0.0011257035647279,36-45,중상,11-20년,0
34,Travel_Rarely,Research & Development,1,2,Medical,1,Male,3,2,Manufacturing Director,2,Married,4325,1,No,15,3,3,0,5,2,3,5,2,1,3,8.372398606513004,0.8333333333333334,0.1666666666666666,0.5,0.0002311604253351,26-35,중하,3-5년,0
56,Travel_Rarely,Research & Development,7,3,Life Sciences,4,Male,1,3,Manufacturing Director,4,Single,7260,4,No,11,3,1,0,37,3,2,6,4,0,2,8.890272839380247,0.1578947368421052,0.0,0.2857142857142857,0.0009640545379424,56-65,중상,6-10년,0
23,Travel_Rarely,Sales,2,1,Technical Degree,3,Male,3,1,Sales Representative,1,Divorced,2322,3,No,13,3,3,1,3,3,3,0,0,0,0,7.750614732770409,0.0,0.0,0.0,0.0008609556607834,18-25,저소득,0-2년,0
51,Travel_Rarely,Research & Development,9,4,Life Sciences,4,Male,3,1,Laboratory Technician,4,Married,2075,3,No,23,4,2,2,10,4,3,4,2,0,3,7.638198244285779,0.3636363636363636,0.0,0.6,0.0043352601156069,46-55,저소득,3-5년,0
30,Travel_Rarely,Research & Development,2,3,Life Sciences,3,Male,2,2,Healthcare Representative,4,Married,4152,1,No,19,3,1,3,11,3,3,11,10,10,8,8.331586243630754,0.9166666666666666,0.8333333333333334,0.6666666666666666,0.0004815795810257,26-35,중하,11-20년,0
46,Travel_Rarely,Sales,9,2,Medical,3,Male,2,3,Sales Executive,4,Single,9619,1,No,16,3,4,0,9,3,3,9,8,4,7,9.171599543659752,0.9,0.4,0.7,0.0009355509355509,46-55,고소득,6-10년,1
40,Travel_Frequently,Research & Development,1,4,Life Sciences,3,Male,2,4,Healthcare Representative,2,Married,13503,1,No,22,4,4,1,22,3,2,22,3,11,11,9.510741216835738,0.9565217391304348,0.4782608695652174,0.4782608695652174,7.40521327014218e-05,36-45,고소득,20년 초과,0
51,Travel_Rarely,Sales,21,4,Marketing,3,Male,3,2,Sales Executive,4,Single,5441,0,Yes,22,4,4,0,11,2,1,10,7,1,0,8.601901919343192,0.8333333333333334,0.0909090909090909,0.0,0.0038588754134509,46-55,중상,6-10년,0
30,Travel_Rarely,Sales,4,2,Medical,3,Female,2,2,Sales Executive,2,Divorced,5209,1,Yes,12,3,2,3,11,4,2,11,8,2,7,8.558335134747413,0.9166666666666666,0.1666666666666666,0.5833333333333334,0.000767754318618,26-35,중상,11-20년,0
46,Travel_Frequently,Research & Development,1,3,Medical,3,Male,2,3,Healthcare Representative,1,Married,10673,2,Yes,13,3,3,1,21,5,2,10,9,9,5,9.27556615689389,0.4545454545454545,0.8181818181818182,0.4545454545454545,9.36855911560802e-05,46-55,고소득,6-10년,0
32,Travel_Rarely,Sales,6,4,Medical,2,Male,3,2,Sales Executive,3,Single,5010,1,No,16,3,1,0,12,0,3,11,8,5,7,8.519390774959724,0.8461538461538461,0.4166666666666667,0.5833333333333334,0.0011973657952504,26-35,중상,11-20년,0
54,Travel_Rarely,Research & Development,2,4,Technical Degree,1,Female,3,3,Research Director,3,Married,13549,9,No,12,3,1,1,16,5,1,4,3,0,3,9.514141826307847,0.2352941176470588,0.0,0.6,0.0001476014760147,46-55,고소득,3-5년,0
24,Travel_Rarely,Sales,3,2,Other,1,Female,3,2,Sales Executive,3,Married,4999,0,No,21,4,1,1,4,2,2,3,2,0,2,8.517193191416238,0.6,0.0,0.5,0.0006,18-25,중상,3-5년,0
28,Non-Travel,Sales,4,3,Medical,2,Male,3,2,Sales Executive,3,Married,4221,1,No,15,3,2,0,5,3,4,5,4,0,4,8.348064228408266,0.8333333333333334,0.0,0.6666666666666666,0.0009474182851729,26-35,중하,3-5년,0
58,Travel_Rarely,Sales,10,4,Medical,4,Male,3,4,Sales Executive,3,Single,13872,0,No,13,3,3,0,38,1,2,37,10,1,8,9.537699784080726,0.9487179487179488,0.0263157894736842,0.2105263157894736,0.0007208246233691,56-65,고소득,20년 초과,0
44,Non-Travel,Research & Development,23,3,Medical,2,Male,3,2,Laboratory Technician,2,Married,2042,4,No,12,3,3,1,17,3,4,3,2,1,2,7.622174594817622,0.1666666666666666,0.25,0.5,0.0112579539892315,36-45,저소득,3-5년,0
37,Travel_Rarely,Human Resources,6,4,Human Resources,3,Male,3,1,Human Resources,1,Divorced,2073,4,Yes,22,4,4,0,7,3,3,3,2,0,2,7.637234388789473,0.375,0.0,0.5,0.0028929604628736,36-45,저소득,3-5년,1
32,Travel_Rarely,Research & Development,1,1,Life Sciences,4,Male,3,1,Research Scientist,1,Single,2956,1,No,13,3,4,0,1,2,3,1,0,0,0,7.991930519852477,0.5,0.0,0.0,0.0003381805884342,26-35,중하,0-2년,0
20,Travel_Frequently,Research & Development,6,3,Life Sciences,4,Female,2,1,Laboratory Technician,4,Single,2926,1,Yes,18,3,2,0,1,5,3,1,0,1,0,7.981733286691885,0.5,0.5,0.0,0.0020498804236419,18-25,중하,0-2년,1
34,Travel_Rarely,Research & Development,6,4,Other,1,Female,3,2,Research Scientist,3,Single,4809,1,No,14,3,3,0,16,3,3,16,13,2,10,8.478452363099807,0.9411764705882352,0.1176470588235294,0.5882352941176471,0.0012474012474012,26-35,중하,11-20년,0
